,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,38,1,13,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,51,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,10,9,12,,,19,,,,,,2,2,,2,,,,1,,,,,,,,,,1,,,,,
beganneft,52,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,53,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,44,4,,,,,,,,2,,,,,,,,,,,,,1,1,1,1,,,,,,,,
Goi,34,4,,10,,,,,1,,,1,,,,,,2,1,1,,,1,,,,,,,,,,,
kapores,48,1,,5,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
lau,10,9,25,7,,,1,,,,,,,,1,1,1,2,,,,,,,,,,,,,,,,
malochen,2,3,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,5,6,32,1,,,3,,,1,,,,,1,,,8,1,,,1,,,,,,,,,,,,
schaskeln,46,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,44,3,,5,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,5,5,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmu,7,8,10,,2,,4,2,11,4,3,1,,,,2,,,1,1,,1,,,2,,,,,,1,1,1,
Schores,34,10,,2,,,,,1,,,2,1,1,1,,,,,,1,1,,,,,,,,,,,,
Stuss,1,4,46,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Toches / Dokes,48,1,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
tof,51,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zores,3,4,2,24,,4,14,2,2,,1,3,,1,4,1,,,1,,,2,,1,1,,,,,,,,,
